gene\sample-id	Case-10T	Case-11T	Case-12T	Case-14T	Case-16T	Case-18T	Case-1T	Case-21T	Case-26T	Case-4T	Case-5T	Case-6T	Case-19T	Case-2T	Case-3T	Case-8T	Case-9T	Case_27T_RNA	Case_28T_RNA	Case_29T_RNA	Case_30T_RNA	Case_31T_RNA	Case_32T_RNA	Case_33T_RNA	Case_34T_RNA	Case_35T_RNA	Case_36T_RNA	Case_37T_RNA
PAWR	6.681332	5.770339	6.847280	6.540132	5.397578	6.154669	7.120293	5.442373	7.430442	5.886854	5.967388	6.401802	6.002497	5.493849	5.478023	6.675919	6.005737	3.771529	4.339085	5.101661	4.107941	3.494948	3.622622	3.492824	3.582975	3.667494	4.820344	3.355540
PCNA	2.280147	4.214020	4.354552	6.133015	4.639268	5.150989	5.302159	4.648218	4.902375	4.197205	2.645114	3.039561	5.790696	4.265640	4.634279	0.000000	4.043565	4.567062	4.115818	4.913824	4.047497	4.856922	6.013075	5.868561	5.258165	6.087572	6.582258	4.297892
PML	6.144939	5.229856	5.570534	6.095316	5.259698	4.271161	6.045028	5.409972	6.170955	5.859021	5.992951	5.211598	4.869949	5.763683	5.387884	0.000000	6.046896	5.629709	6.023446	5.499626	6.443935	5.222489	5.479059	6.267249	5.158321	6.330788	5.079860	4.974052
PPP2R5A	4.395014	5.016466	4.807252	4.353647	4.701596	4.267973	4.750841	4.877919	4.999965	4.786702	4.789121	5.120147	4.945493	4.866621	4.310264	0.000000	4.888937	4.494178	4.610545	4.535899	4.274341	5.159075	4.649892	4.900823	5.123818	4.134170	5.180615	6.144258
RPA1	3.446891	3.921596	3.818749	4.057578	3.280633	3.306876	4.280398	4.039718	3.884492	3.004027	3.550916	3.654996	3.737586	3.780681	3.694790	0.000000	3.524809	4.006156	5.596286	4.724628	5.057005	4.845728	5.044129	4.988279	5.400681	5.586973	5.185780	5.039084
SMAD3	6.163122	5.709436	5.772330	4.887889	5.702159	4.224115	6.305341	6.041188	5.772044	6.550086	6.324436	5.852363	4.499519	5.548774	5.503510	4.269660	5.650053	7.823272	7.465846	6.904218	7.081796	6.906808	6.340365	5.655147	6.518009	6.837649	7.225594	7.869390
SMARCA4	5.747459	5.308780	6.097126	5.976398	5.019192	5.091502	6.646237	5.021831	6.698023	4.853105	5.451771	5.736056	4.894427	4.881299	5.202423	6.015973	5.574930	6.045166	6.451644	6.028294	6.749366	5.702625	7.277620	6.375601	5.105566	6.818740	6.471645	4.526779
NCOA6IP	2.452819	3.544368	2.954930	3.932304	3.991964	3.840506	3.842046	3.958656	3.307200	3.258241	3.069365	3.449690	3.629096	3.441406	3.245092	0.000000	3.389860	4.454476	4.545378	4.363160	3.727796	4.164585	5.202018	4.601623	4.653829	4.493762	4.911460	3.950298
TP53	4.623730	5.139080	5.536130	4.555757	4.286447	5.423185	5.428298	4.947129	4.792208	4.512693	4.911477	5.536311	5.366770	4.267242	4.739076	0.000000	5.792972	7.492685	5.895097	7.201491	5.982333	6.095366	5.763636	7.150603	6.667472	4.297083	6.908650	7.090628
TP73L	2.749418	1.767574	1.917778	3.079811	1.179054	1.038147	5.240287	1.792001	2.951489	2.021187	1.165704	5.346855	1.559765	1.383695	1.748548	6.600888	2.497988	1.389841	1.239507	1.038465	0.868652	1.388607	1.020808	1.293896	1.310155	0.806717	0.498949	0.538896
WRN	2.738675	3.204268	2.648515	3.826155	2.921310	3.646995	3.519046	3.296004	3.563442	3.208844	3.147113	3.282556	3.093464	3.034783	2.738951	0.000000	3.206652	5.681007	5.768573	6.231122	4.546924	5.193152	6.623679	5.308571	4.378440	4.829464	4.769140	4.447451
WT1	0.492379	0.000000	0.686275	1.001337	1.485810	2.424639	0.083811	0.841849	0.783623	0.065465	0.312020	1.078566	3.013028	1.141856	0.045622	0.000000	2.086523	2.946750	3.824394	5.992060	6.038533	3.708684	0.451864	0.000000	0.000000	0.169602	3.611976	5.073428
WTAP	4.917006	5.849350	4.991654	6.303420	5.405329	4.764788	5.614396	6.219622	5.138691	5.534301	5.355148	5.849889	5.564793	5.501268	4.864678	6.219112	5.586456	4.372646	5.106698	5.238127	4.325578	5.053958	4.843354	4.944498	4.710448	4.896924	5.046754	4.960512
